Unnamed: 0,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,class,stalk_height,cap_diameter
549,conical,grooves,brown,no,foul,free,distant,broad,white,tapering,rooted,smooth,fibrous,buff,gray,partial,yellow,two,large,chocolate,solitary,woods,poisonous,12.20695208,5.06171479
408,bell,scaly,red,yes,creosote,attached,close,broad,gray,tapering,rooted,smooth,scaly,pink,orange,partial,white,two,pendant,green,solitary,meadows,edible,8.338754514,18.57706863
88,conical,grooves,brown,yes,almond,free,crowded,broad,buff,enlarging,bulbous,scaly,scaly,red,cinnamon,universal,orange,two,none,chocolate,several,meadows,poisonous,10.47571867,3.032814986
1195,flat,grooves,brown,no,none,free,close,narrow,chocolate,enlarging,rhizomorphs,silky,fibrous,cinnamon,gray,universal,white,none,sheathing,purple,clustered,woods,edible,9.266367368,22.69864377
884,conical,smooth,gray,no,fishy,notched,close,narrow,pink,enlarging,bulbous,silky,smooth,yellow,red,universal,yellow,one,flaring,chocolate,clustered,leaves,poisonous,13.08826016,2.217697033
1082,conical,scaly,brown,yes,creosote,free,close,broad,orange,tapering,rooted,fibrous,fibrous,cinnamon,white,universal,orange,none,zone,yellow,several,leaves,poisonous,13.19653224,4.551520821
377,conical,fibrous,white,no,fishy,notched,close,broad,yellow,tapering,missing,scaly,smooth,orange,pink,universal,orange,one,sheathing,green,several,leaves,poisonous,5.336868342,3.060439931
553,convex,smooth,yellow,yes,musty,attached,close,narrow,chocolate,tapering,bulbous,silky,smooth,brown,cinnamon,universal,orange,none,sheathing,purple,scattered,paths,poisonous,9.653288939,17.03369656
987,convex,scaly,red,yes,creosote,notched,close,narrow,chocolate,tapering,bulbous,scaly,scaly,yellow,yellow,universal,white,none,cobwebby,brown,abundant,grasses,poisonous,2.08452127,1.022498782
1108,bell,grooves,purple,no,foul,descending,distant,broad,red,tapering,rooted,scaly,fibrous,orange,gray,universal,yellow,one,large,chocolate,several,woods,edible,3.59494407,1.219114444
519,convex,scaly,yellow,yes,foul,notched,close,broad,yellow,enlarging,rhizomorphs,scaly,smooth,brown,gray,universal,orange,one,flaring,green,numerous,urban,poisonous,10.52019449,22.82613032
354,bell,fibrous,purple,no,fishy,attached,crowded,broad,green,tapering,equal,smooth,silky,cinnamon,pink,universal,orange,one,pendant,chocolate,scattered,waste,poisonous,7.21132375,14.38821417
896,bell,smooth,yellow,no,spicy,descending,crowded,narrow,pink,tapering,bulbous,silky,smooth,brown,gray,partial,white,none,cobwebby,chocolate,clustered,leaves,poisonous,10.11662118,8.804394081
1054,conical,smooth,gray,yes,foul,notched,crowded,narrow,red,enlarging,bulbous,silky,fibrous,pink,red,partial,brown,none,evanescent,white,numerous,woods,poisonous,7.755409651,20.32804706
119,sunken,smooth,green,no,musty,free,close,broad,pink,enlarging,cup,silky,fibrous,buff,red,partial,orange,none,pendant,green,clustered,paths,poisonous,7.328065367,22.48365095
177,sunken,smooth,gray,no,almond,attached,close,narrow,red,tapering,cup,silky,smooth,red,pink,partial,orange,two,large,purple,solitary,urban,poisonous,5.099540654,24.5405289
913,convex,fibrous,yellow,yes,none,attached,distant,narrow,black,tapering,equal,smooth,scaly,buff,orange,partial,orange,one,none,purple,clustered,grasses,poisonous,9.234718315,19.86244626
1007,conical,grooves,green,yes,pungent,attached,close,broad,gray,enlarging,rooted,scaly,fibrous,red,white,universal,white,one,cobwebby,yellow,solitary,meadows,poisonous,13.76703438,3.318182779
943,bell,scaly,pink,no,spicy,descending,distant,narrow,green,enlarging,rooted,smooth,smooth,buff,gray,universal,brown,none,large,brown,clustered,urban,edible,8.866764996,20.23022237
532,convex,scaly,brown,yes,fishy,attached,close,broad,white,tapering,bulbous,fibrous,silky,pink,cinnamon,partial,white,one,none,black,abundant,paths,poisonous,5.865708063,14.53999445
1275,sunken,scaly,yellow,no,pungent,descending,distant,narrow,orange,enlarging,rooted,fibrous,fibrous,red,red,partial,white,none,zone,white,numerous,leaves,poisonous,4.746453008,10.76993476
957,conical,smooth,white,no,fishy,notched,distant,broad,gray,enlarging,missing,smooth,scaly,white,yellow,universal,yellow,two,pendant,chocolate,several,urban,edible,9.273152239,6.069182627
181,sunken,fibrous,pink,no,pungent,attached,crowded,narrow,red,tapering,rhizomorphs,silky,silky,brown,pink,partial,white,none,none,white,abundant,paths,poisonous,4.902938025,7.185115934
326,convex,smooth,brown,yes,creosote,free,crowded,broad,orange,tapering,missing,scaly,scaly,buff,red,partial,white,none,cobwebby,green,abundant,leaves,poisonous,11.43425275,15.67341308
280,convex,scaly,brown,no,anise,descending,crowded,narrow,black,enlarging,missing,silky,smooth,gray,yellow,universal,white,one,large,green,abundant,leaves,poisonous,2.117873141,4.790971331
1136,bell,scaly,gray,no,foul,free,distant,narrow,brown,enlarging,cup,smooth,silky,red,orange,partial,brown,none,evanescent,purple,clustered,meadows,edible,12.52477336,21.74272082
549,conical,grooves,brown,no,foul,free,distant,broad,white,tapering,rooted,smooth,fibrous,buff,gray,partial,yellow,two,large,chocolate,solitary,woods,poisonous,12.20695208,5.06171479
547,bell,scaly,gray,no,creosote,notched,crowded,broad,brown,enlarging,equal,smooth,scaly,orange,yellow,partial,white,two,large,orange,numerous,woods,poisonous,12.35354761,21.23874268
82,sunken,smooth,white,yes,almond,notched,close,broad,green,enlarging,rhizomorphs,fibrous,scaly,brown,yellow,universal,yellow,none,none,black,clustered,waste,edible,6.317236869,17.15044149
379,flat,smooth,pink,no,creosote,descending,distant,narrow,brown,enlarging,club,fibrous,silky,orange,pink,universal,white,none,pendant,yellow,abundant,waste,poisonous,3.088310095,17.66037359
518,conical,fibrous,yellow,yes,anise,attached,close,broad,pink,enlarging,rhizomorphs,scaly,scaly,cinnamon,yellow,partial,yellow,none,none,orange,several,urban,edible,7.069809634,22.50459633
582,convex,fibrous,buff,no,fishy,attached,crowded,narrow,pink,tapering,rhizomorphs,fibrous,scaly,buff,orange,universal,orange,one,zone,orange,clustered,leaves,poisonous,12.45043433,7.509931885
632,flat,smooth,yellow,no,almond,notched,close,broad,buff,tapering,cup,smooth,fibrous,yellow,white,universal,yellow,one,pendant,white,several,woods,poisonous,9.274446608,5.04749188
962,bell,grooves,yellow,yes,anise,attached,close,broad,green,enlarging,cup,smooth,silky,pink,buff,partial,white,two,large,brown,numerous,meadows,poisonous,12.63969008,11.56072757
275,sunken,grooves,yellow,yes,almond,notched,close,narrow,yellow,tapering,rhizomorphs,silky,silky,cinnamon,cinnamon,universal,orange,two,flaring,white,clustered,paths,poisonous,12.93893024,13.38000728
1122,conical,fibrous,yellow,yes,fishy,attached,crowded,narrow,black,tapering,bulbous,smooth,fibrous,gray,buff,universal,brown,two,pendant,green,abundant,meadows,poisonous,9.654492799,7.028738069
763,bell,grooves,brown,no,pungent,attached,close,broad,gray,tapering,cup,smooth,smooth,pink,brown,universal,yellow,none,zone,brown,abundant,waste,poisonous,6.887240201,2.237467945
1186,bell,grooves,yellow,yes,foul,free,close,broad,orange,enlarging,cup,silky,smooth,brown,brown,partial,white,two,flaring,chocolate,several,waste,edible,10.39756048,6.470987352
1258,flat,scaly,buff,no,anise,free,close,broad,brown,enlarging,bulbous,fibrous,smooth,pink,cinnamon,partial,orange,none,none,chocolate,abundant,leaves,edible,7.763252722,5.246725931
742,flat,scaly,purple,yes,pungent,notched,close,narrow,chocolate,tapering,rooted,smooth,silky,gray,cinnamon,partial,white,one,pendant,purple,scattered,paths,poisonous,9.940041773,1.669269212
383,bell,smooth,brown,yes,foul,attached,crowded,narrow,orange,enlarging,rooted,scaly,fibrous,buff,buff,universal,brown,one,flaring,chocolate,several,waste,poisonous,8.831172626,19.32522177
1049,sunken,fibrous,green,yes,almond,notched,crowded,broad,brown,tapering,bulbous,smooth,silky,buff,pink,universal,orange,two,none,black,abundant,waste,poisonous,14.52244636,16.93042313
541,bell,scaly,green,yes,anise,free,crowded,broad,purple,tapering,missing,fibrous,fibrous,brown,brown,universal,brown,two,evanescent,green,abundant,leaves,edible,4.122998136,8.212711984
349,conical,fibrous,red,yes,pungent,notched,crowded,broad,brown,tapering,rooted,silky,smooth,cinnamon,gray,universal,white,none,evanescent,chocolate,scattered,leaves,edible,12.46123572,7.148897797
879,flat,grooves,green,no,foul,free,crowded,narrow,gray,tapering,rhizomorphs,fibrous,scaly,yellow,cinnamon,universal,orange,two,zone,black,abundant,urban,poisonous,11.9389134,16.81894653
604,conical,fibrous,gray,no,pungent,notched,distant,broad,brown,tapering,club,fibrous,fibrous,pink,yellow,universal,yellow,one,cobwebby,orange,scattered,waste,poisonous,3.652121476,15.94621753
1046,bell,scaly,white,no,fishy,free,distant,broad,green,enlarging,bulbous,silky,silky,red,red,partial,brown,one,sheathing,yellow,clustered,urban,poisonous,8.374571417,5.325103766
778,sunken,fibrous,gray,yes,musty,free,close,broad,white,tapering,missing,fibrous,silky,white,pink,partial,brown,two,pendant,orange,solitary,grasses,poisonous,5.747580651,3.144325951
466,sunken,smooth,green,no,musty,free,crowded,broad,black,tapering,bulbous,silky,scaly,yellow,yellow,universal,white,two,large,purple,several,urban,poisonous,14.50668456,2.714967208
493,sunken,scaly,pink,yes,almond,notched,crowded,narrow,green,enlarging,bulbous,silky,silky,gray,buff,partial,white,none,none,black,numerous,leaves,poisonous,9.396125103,14.28811159
1197,convex,fibrous,white,no,fishy,attached,close,narrow,yellow,tapering,club,scaly,scaly,white,red,universal,white,none,pendant,yellow,abundant,grasses,poisonous,14.06735787,9.423829567
894,sunken,fibrous,white,yes,none,descending,crowded,broad,black,tapering,club,fibrous,smooth,pink,cinnamon,partial,brown,one,none,green,clustered,meadows,poisonous,12.1234258,7.118137258
385,convex,scaly,green,yes,foul,notched,distant,broad,orange,enlarging,cup,fibrous,silky,cinnamon,buff,partial,yellow,one,none,black,numerous,meadows,edible,6.651160002,12.35073225
138,flat,smooth,yellow,no,anise,descending,distant,narrow,black,enlarging,bulbous,silky,smooth,brown,pink,universal,orange,two,large,purple,several,meadows,poisonous,2.430328114,18.03550601
666,convex,fibrous,brown,yes,pungent,descending,distant,narrow,yellow,tapering,equal,smooth,fibrous,cinnamon,yellow,universal,orange,none,evanescent,black,abundant,meadows,edible,13.60256645,4.7330795
1147,sunken,smooth,buff,no,foul,notched,distant,narrow,orange,tapering,rhizomorphs,fibrous,fibrous,buff,brown,partial,white,none,sheathing,purple,solitary,woods,poisonous,9.273317565,1.651206029
591,flat,smooth,buff,yes,almond,notched,close,narrow,chocolate,enlarging,missing,smooth,silky,buff,white,universal,brown,none,flaring,chocolate,abundant,urban,poisonous,2.74528288,24.91277013
661,conical,grooves,green,no,pungent,free,crowded,broad,brown,enlarging,club,smooth,silky,buff,orange,partial,brown,two,sheathing,purple,several,woods,edible,4.303660237,4.410084482
565,flat,grooves,white,no,spicy,free,distant,narrow,orange,tapering,equal,scaly,smooth,gray,white,universal,brown,two,sheathing,orange,clustered,paths,poisonous,6.799675289,3.61491004
1198,sunken,smooth,white,no,anise,attached,crowded,broad,black,tapering,bulbous,scaly,scaly,orange,red,partial,brown,two,sheathing,black,solitary,woods,edible,13.21400655,14.54917131
602,convex,scaly,green,no,spicy,free,close,narrow,black,enlarging,rooted,fibrous,scaly,cinnamon,orange,partial,white,two,flaring,white,abundant,grasses,poisonous,12.53097274,24.08579936
224,bell,fibrous,buff,yes,fishy,descending,close,narrow,buff,tapering,rhizomorphs,scaly,smooth,white,yellow,universal,orange,none,sheathing,brown,solitary,waste,poisonous,11.80820486,10.79476087
686,conical,scaly,brown,yes,anise,descending,close,narrow,purple,enlarging,equal,fibrous,scaly,red,brown,partial,orange,none,zone,green,clustered,waste,poisonous,9.163877806,14.42671336
588,flat,smooth,green,no,none,attached,distant,broad,orange,tapering,cup,smooth,silky,cinnamon,pink,partial,brown,none,cobwebby,black,clustered,paths,poisonous,13.32320455,5.539454418
1005,sunken,scaly,buff,no,musty,free,distant,narrow,gray,enlarging,cup,fibrous,scaly,white,white,partial,orange,one,zone,orange,solitary,leaves,poisonous,4.154304736,10.03177191
151,conical,fibrous,red,no,almond,descending,crowded,broad,brown,tapering,missing,smooth,scaly,yellow,cinnamon,universal,yellow,one,sheathing,buff,clustered,woods,edible,12.35646,24.14176324
1204,flat,fibrous,yellow,no,musty,free,crowded,narrow,purple,tapering,bulbous,scaly,scaly,gray,yellow,partial,yellow,two,large,buff,several,grasses,poisonous,8.898135791,3.004207447
1153,sunken,fibrous,white,no,pungent,notched,close,narrow,buff,enlarging,cup,fibrous,silky,gray,red,partial,white,two,sheathing,green,abundant,woods,poisonous,4.882746833,2.723651342
534,bell,scaly,brown,no,fishy,free,distant,broad,yellow,enlarging,bulbous,silky,scaly,gray,cinnamon,partial,white,one,evanescent,white,scattered,paths,edible,7.115625805,13.28409789
548,sunken,scaly,purple,no,creosote,attached,close,narrow,pink,enlarging,bulbous,smooth,smooth,red,pink,partial,white,two,zone,purple,solitary,meadows,poisonous,3.365758295,22.72826261
801,bell,scaly,purple,yes,spicy,descending,distant,narrow,black,enlarging,cup,scaly,scaly,cinnamon,buff,partial,brown,none,zone,chocolate,several,paths,poisonous,9.883697549,15.73854891
115,convex,smooth,yellow,yes,foul,attached,distant,broad,black,enlarging,bulbous,silky,scaly,brown,gray,universal,brown,one,sheathing,white,several,grasses,poisonous,3.754460574,2.902687969
1004,convex,grooves,gray,yes,foul,attached,crowded,narrow,red,enlarging,bulbous,scaly,fibrous,pink,orange,universal,white,none,pendant,green,numerous,waste,poisonous,11.0897172,11.4001218
1035,flat,grooves,white,no,foul,descending,distant,narrow,white,tapering,rhizomorphs,silky,silky,brown,pink,partial,brown,none,sheathing,brown,scattered,paths,edible,2.582422761,18.69810722
69,sunken,grooves,red,no,almond,free,distant,broad,white,tapering,bulbous,smooth,fibrous,buff,yellow,partial,orange,one,large,yellow,scattered,urban,edible,14.50809849,14.86651862
779,flat,grooves,white,no,none,attached,close,narrow,chocolate,enlarging,rooted,scaly,scaly,cinnamon,pink,universal,white,none,evanescent,orange,clustered,paths,poisonous,4.124827511,11.11044356
1240,bell,smooth,red,yes,fishy,descending,crowded,broad,green,tapering,rhizomorphs,scaly,fibrous,buff,white,partial,yellow,none,cobwebby,white,clustered,meadows,edible,14.39469234,23.61490422
1167,sunken,scaly,white,no,anise,descending,distant,broad,pink,tapering,cup,smooth,silky,gray,yellow,partial,brown,two,sheathing,chocolate,clustered,waste,poisonous,14.27617297,5.054982923
1105,sunken,grooves,yellow,no,anise,descending,crowded,broad,gray,enlarging,rhizomorphs,silky,smooth,red,white,partial,white,none,pendant,purple,several,waste,poisonous,6.156391512,22.06014282
966,conical,scaly,yellow,yes,spicy,attached,crowded,narrow,buff,enlarging,rhizomorphs,scaly,scaly,orange,orange,universal,yellow,two,evanescent,brown,clustered,urban,edible,5.893480958,13.98929819
1268,sunken,fibrous,buff,yes,none,notched,crowded,narrow,green,tapering,bulbous,scaly,fibrous,orange,buff,universal,white,none,sheathing,orange,scattered,urban,poisonous,13.49711974,6.120692547
669,flat,grooves,white,no,anise,notched,distant,narrow,orange,tapering,cup,fibrous,smooth,white,pink,partial,white,two,evanescent,white,numerous,meadows,poisonous,14.19418029,19.21616376
986,sunken,smooth,red,no,almond,notched,crowded,narrow,white,enlarging,cup,silky,silky,gray,pink,partial,orange,none,evanescent,chocolate,several,paths,poisonous,14.08844972,18.49616875
596,flat,scaly,red,no,musty,descending,crowded,narrow,purple,tapering,club,silky,fibrous,orange,pink,partial,orange,two,large,yellow,abundant,woods,edible,14.29445457,10.98383793
986,sunken,smooth,red,no,almond,notched,crowded,narrow,white,enlarging,cup,silky,silky,gray,pink,partial,orange,none,evanescent,chocolate,several,paths,poisonous,14.08844972,18.49616875
879,flat,grooves,green,no,foul,free,crowded,narrow,gray,tapering,rhizomorphs,fibrous,scaly,yellow,cinnamon,universal,orange,two,zone,black,abundant,urban,poisonous,11.9389134,16.81894653
270,conical,grooves,gray,yes,almond,free,distant,narrow,purple,enlarging,rooted,smooth,silky,white,gray,partial,yellow,one,cobwebby,black,scattered,paths,poisonous,4.995932189,20.19405437
479,conical,grooves,brown,no,fishy,free,distant,broad,green,enlarging,rhizomorphs,fibrous,scaly,buff,red,partial,brown,none,pendant,purple,several,woods,poisonous,4.76011753,21.8530649
724,sunken,smooth,pink,yes,spicy,notched,close,broad,pink,enlarging,equal,silky,smooth,pink,pink,universal,white,two,cobwebby,buff,abundant,paths,poisonous,11.12024563,20.69663129
900,sunken,smooth,gray,yes,musty,free,distant,broad,green,tapering,rooted,silky,silky,pink,buff,partial,brown,none,sheathing,brown,clustered,grasses,poisonous,8.520962668,22.36879733
804,conical,scaly,red,yes,anise,free,distant,narrow,white,enlarging,bulbous,silky,smooth,gray,cinnamon,universal,orange,one,sheathing,white,solitary,paths,poisonous,13.72335816,12.27943164
234,bell,smooth,purple,no,musty,free,close,narrow,chocolate,enlarging,rooted,silky,fibrous,cinnamon,white,partial,yellow,two,cobwebby,green,numerous,woods,edible,6.323799426,11.09701202
29,bell,scaly,pink,yes,pungent,attached,crowded,broad,buff,tapering,rooted,fibrous,silky,buff,buff,universal,yellow,one,evanescent,green,abundant,grasses,poisonous,14.2951239,13.598769
507,conical,scaly,green,no,pungent,descending,distant,broad,pink,tapering,rooted,scaly,scaly,buff,yellow,universal,white,two,none,white,abundant,leaves,poisonous,7.321437801,13.92591693
884,conical,smooth,gray,no,fishy,notched,close,narrow,pink,enlarging,bulbous,silky,smooth,yellow,red,universal,yellow,one,flaring,chocolate,clustered,leaves,poisonous,13.08826016,2.217697033
8,convex,smooth,green,no,foul,free,distant,narrow,black,enlarging,rooted,smooth,silky,gray,orange,partial,brown,one,flaring,brown,numerous,woods,edible,9.920700881,5.543278731
414,bell,grooves,yellow,no,pungent,free,crowded,narrow,chocolate,enlarging,bulbous,smooth,fibrous,cinnamon,red,partial,orange,one,flaring,yellow,scattered,paths,poisonous,8.640331374,4.036814086
720,convex,scaly,gray,yes,none,attached,crowded,narrow,white,enlarging,cup,scaly,smooth,orange,red,partial,yellow,none,pendant,buff,abundant,meadows,poisonous,12.47934841,12.76646066
